service_no,user_no,inst_no,start_date,end_date,care_service,alert_service,check_service
55,13,12,2022-05-31,2022-08-10,Y,N,N
56,11,7,2022-12-30,2023-09-23,N,N,Y
57,3,3,2023-02-07,2023-07-26,N,Y,Y
58,3,6,2021-12-10,2022-06-19,Y,Y,Y
59,2,19,2023-11-03,2023-12-26,Y,N,N
60,13,14,2021-10-22,2022-10-17,Y,Y,Y
61,11,4,2021-05-25,2022-03-29,Y,N,N
62,1,9,2023-01-19,2023-08-05,Y,Y,N
63,7,8,2020-07-17,2020-08-22,N,N,Y
64,15,12,2020-06-17,2020-08-19,Y,Y,N
65,8,9,2022-01-29,2022-03-18,Y,N,Y
66,15,5,2021-02-09,2021-06-20,Y,N,N
67,9,20,2023-01-05,2023-08-23,N,N,Y
68,7,5,2022-04-25,2022-05-22,Y,N,N
69,5,16,2022-10-09,2023-03-20,N,N,N
70,4,16,2023-03-02,2023-08-21,Y,Y,Y
71,13,12,2022-02-17,2022-04-11,N,Y,N
72,11,7,2022-10-31,2022-11-09,N,Y,Y
73,4,7,2021-12-05,2022-07-20,Y,N,N
74,5,7,2021-03-25,2021-05-22,Y,N,Y
75,12,17,2021-12-04,2022-03-23,N,Y,N
76,8,9,2022-01-22,2022-07-13,N,N,N
77,4,11,2021-02-10,2021-08-14,Y,N,N
78,11,1,2020-08-06,2021-05-23,Y,N,N
79,11,7,2022-08-12,2022-11-30,Y,Y,N
80,12,23,2021-08-20,2022-07-19,N,N,Y
81,9,20,2021-12-27,2022-01-04,Y,N,Y
82,9,4,2021-09-21,2022-05-29,Y,N,Y
83,6,7,2021-05-08,2022-05-03,N,N,N
84,15,22,2022-07-17,2023-05-17,Y,Y,Y
85,11,8,2023-10-09,2023-11-15,N,Y,N
86,3,9,2024-02-17,2024-10-18,N,N,Y
87,3,2,2023-12-18,2024-03-31,Y,N,N
88,11,20,2020-01-25,2020-04-25,N,Y,N
89,15,1,2021-10-03,2022-02-19,Y,Y,Y
90,10,15,2023-07-15,2023-09-22,Y,Y,Y
91,4,8,2023-09-15,2024-06-21,Y,N,N
92,4,3,2020-10-27,2021-04-29,Y,N,N
93,11,23,2023-08-08,2023-12-28,Y,N,Y
94,1,23,2023-03-16,2023-03-16,Y,Y,Y
95,10,15,2023-06-12,2023-07-07,Y,N,N
96,10,20,2021-04-28,2021-12-04,Y,N,Y
97,6,9,2024-03-05,2024-08-30,Y,N,N
98,3,9,2023-09-21,2023-12-03,N,N,Y
99,12,15,2023-01-24,2023-07-20,Y,Y,N
100,10,20,2021-02-09,2021-05-06,N,Y,N
101,4,22,2022-11-11,2022-12-15,N,N,N
102,14,15,2024-01-09,2024-08-15,N,Y,Y
103,14,5,2020-11-01,2021-10-19,Y,Y,Y
104,1,23,2021-06-30,2021-11-18,N,N,Y
105,11,7,2022-05-28,2023-01-06,Y,Y,N
106,15,9,2023-04-30,2024-02-28,N,Y,N
107,4,17,2023-11-19,2024-10-08,Y,N,Y
108,15,7,2023-07-20,2024-02-04,Y,Y,N
109,12,11,2021-03-01,2021-07-03,Y,Y,Y
110,3,14,2021-12-26,2022-11-13,N,N,N
111,2,9,2021-08-26,2022-01-03,N,Y,Y
112,13,11,2020-03-26,2021-01-20,Y,Y,N
113,14,14,2021-08-29,2021-08-29,N,Y,Y
114,6,13,2023-03-19,2023-08-19,N,N,N
115,2,1,2024-03-09,2024-05-08,N,Y,Y
116,4,17,2023-02-02,2023-12-26,Y,Y,N
117,10,7,2023-05-14,2023-05-25,Y,Y,Y
118,8,18,2023-07-12,2023-12-25,Y,N,Y
119,9,16,2022-10-12,2023-03-19,Y,Y,Y
120,6,7,2020-06-30,2020-07-15,N,Y,N
121,3,1,2021-08-05,2022-06-13,N,Y,Y
122,15,4,2020-08-07,2020-08-24,N,N,Y
123,3,22,2022-03-19,2022-09-21,Y,Y,N
124,7,3,2021-09-17,2022-02-08,Y,Y,Y
125,12,14,2020-06-16,2021-04-19,N,N,Y
126,15,20,2020-07-10,2021-01-06,Y,Y,Y
127,13,23,2021-12-29,2022-04-09,N,N,N
128,7,21,2024-03-01,2024-03-15,N,N,N
129,4,1,2022-05-11,2023-01-18,N,N,N
130,7,20,2021-08-03,2022-02-02,N,N,Y
131,10,4,2023-01-11,2023-06-17,N,Y,Y
132,8,6,2020-05-16,2021-05-04,N,Y,N
133,10,4,2021-08-29,2022-03-01,N,Y,N
134,5,1,2023-08-20,2024-06-21,N,Y,Y
135,9,11,2023-04-30,2023-11-15,N,Y,Y
136,13,10,2022-06-08,2022-09-20,Y,Y,N
137,12,4,2020-02-27,2020-06-04,Y,Y,N
138,13,4,2024-05-25,2025-04-14,N,N,N
139,1,16,2021-05-10,2021-11-24,Y,Y,Y
140,10,2,2021-01-07,2021-10-07,Y,N,Y
141,10,21,2022-04-01,2023-01-05,Y,N,Y
142,4,18,2021-10-31,2021-12-10,Y,N,N
143,6,6,2023-04-28,2023-11-25,N,N,Y
144,3,23,2020-09-03,2021-02-17,Y,N,N
145,12,3,2023-04-23,2024-03-26,N,N,N
146,6,1,2024-03-26,2024-04-28,Y,N,N
147,6,19,2021-04-13,2022-03-12,Y,N,Y
148,10,5,2021-04-30,2022-03-10,Y,N,Y
149,2,17,2020-12-19,2021-10-29,N,N,N
150,8,16,2022-12-17,2023-11-11,Y,N,N
151,11,23,2022-10-26,2022-12-28,N,N,Y
152,13,8,2021-09-08,2022-02-02,Y,Y,N
153,14,14,2020-02-28,2021-01-30,Y,N,N
154,8,13,2020-09-29,2021-06-18,N,N,N
155,15,19,2020-04-08,2020-09-15,N,N,N
156,4,15,2022-03-05,2022-05-11,Y,Y,Y
157,11,4,2023-02-19,2023-09-28,Y,Y,N
158,4,2,2020-08-09,2021-06-29,Y,N,Y
159,9,5,2020-01-03,2020-03-27,N,N,N
160,8,12,2020-10-22,2021-10-18,Y,Y,Y
161,9,22,2021-07-08,2021-08-20,Y,N,Y
162,3,3,2022-03-26,2022-04-13,N,N,N
163,9,13,2020-10-14,2021-07-01,Y,N,Y
164,4,23,2020-09-02,2021-07-12,N,N,Y
165,6,7,2020-04-15,2020-05-11,N,Y,Y
166,1,10,2023-04-03,2024-02-26,Y,Y,N
167,4,12,2021-09-26,2022-06-21,Y,N,N
168,8,21,2022-08-25,2023-01-18,Y,N,N
169,4,19,2021-07-03,2022-01-03,N,Y,Y
170,13,21,2022-02-04,2022-05-28,Y,Y,N
171,13,11,2020-08-06,2020-11-24,Y,N,N
172,15,13,2022-05-04,2023-04-11,N,Y,Y
173,9,16,2023-12-11,2024-06-24,Y,N,N
174,13,13,2022-09-19,2022-10-25,N,N,N
175,11,2,2021-06-22,2022-01-15,Y,Y,N
176,3,3,2020-02-06,2020-02-29,N,Y,N
177,14,5,2021-06-08,2021-06-22,Y,N,N
178,9,20,2021-09-01,2022-04-28,N,N,Y
179,8,10,2021-02-02,2022-01-12,N,Y,Y
180,7,17,2024-03-29,2024-04-07,Y,Y,N
181,4,1,2022-05-20,2023-01-12,Y,Y,N
182,12,7,2022-09-23,2023-04-17,Y,Y,Y
183,12,11,2020-05-01,2021-03-15,N,N,N
184,6,4,2023-11-08,2024-10-19,N,N,Y
185,1,12,2024-01-27,2024-09-02,N,Y,Y
186,12,20,2021-08-14,2022-05-10,Y,N,N
187,10,20,2024-04-15,2025-01-07,N,Y,N
188,3,22,2020-07-09,2021-04-19,N,N,N
189,9,6,2021-10-05,2022-05-14,N,N,N
190,10,18,2020-12-29,2021-12-14,N,N,N
191,10,5,2024-03-14,2024-06-25,N,N,N
192,10,18,2023-04-02,2024-01-09,N,Y,N
193,7,8,2023-10-07,2024-09-07,N,Y,Y
194,11,2,2021-09-05,2022-01-24,Y,N,Y
195,3,11,2021-02-26,2021-09-29,Y,Y,Y
196,8,3,2022-11-10,2023-07-28,N,Y,N
197,12,20,2024-01-31,2024-07-04,N,Y,Y
198,3,10,2022-06-05,2022-08-23,Y,Y,Y
199,8,13,2023-04-09,2023-11-30,Y,N,N
200,4,14,2021-11-23,2021-12-05,Y,N,N
201,1,18,2020-07-21,2021-05-26,Y,N,N
202,4,18,2023-11-23,2024-06-18,Y,N,N
203,1,11,2023-11-26,2024-11-20,Y,N,N
204,4,15,2024-01-24,2025-01-19,Y,Y,N
205,10,11,2022-07-14,2023-02-15,N,N,N
206,6,6,2024-05-04,2025-01-20,Y,N,N
207,3,1,2024-05-21,2025-03-18,N,N,N
208,10,11,2022-05-29,2023-01-19,Y,N,Y
209,3,21,2021-09-11,2021-11-26,N,Y,N
210,9,8,2023-03-07,2023-10-28,Y,Y,N
211,11,7,2022-09-29,2023-08-10,N,N,N
212,5,22,2021-01-11,2021-03-09,N,N,N
213,7,19,2024-03-12,2024-12-08,N,N,Y
214,2,19,2023-09-20,2024-06-21,N,Y,N
215,11,18,2022-07-17,2023-05-03,N,N,Y
216,8,16,2020-04-12,2020-08-07,Y,N,Y
217,7,19,2023-10-30,2023-11-21,Y,N,Y
218,12,21,2022-02-20,2022-05-30,Y,Y,N
219,4,11,2021-02-09,2021-04-06,Y,Y,Y
220,2,15,2023-11-07,2024-05-04,Y,Y,N
221,1,18,2020-07-14,2021-05-11,Y,N,N
222,5,6,2023-06-22,2024-02-10,N,N,Y
223,2,4,2023-02-26,2023-05-08,Y,N,Y
224,14,11,2020-04-04,2021-04-04,Y,Y,N
225,14,15,2024-04-01,2025-01-04,Y,N,Y
226,5,2,2021-04-28,2021-12-08,N,N,Y
227,2,15,2021-04-27,2021-05-19,Y,N,N
228,12,16,2022-12-13,2023-12-04,N,Y,N
229,14,10,2023-08-04,2024-04-04,N,Y,N
230,14,6,2020-01-22,2020-06-28,Y,N,Y
231,8,16,2023-11-18,2024-08-17,N,Y,Y
232,14,4,2021-09-11,2022-01-17,N,N,N
233,6,20,2022-11-17,2023-04-06,N,Y,Y
234,14,16,2023-06-27,2024-01-11,Y,Y,Y
235,12,2,2022-11-03,2023-01-06,Y,Y,Y
236,6,18,2024-03-04,2024-05-12,N,Y,N
237,9,17,2022-01-08,2022-05-24,Y,N,Y
238,11,17,2020-08-15,2021-04-22,Y,N,N
239,9,21,2021-06-26,2021-10-02,N,N,N
240,2,20,2020-10-07,2021-09-08,Y,Y,Y
241,3,21,2022-06-09,2023-04-06,N,Y,N
242,1,12,2022-01-01,2022-02-06,N,Y,Y
243,9,23,2020-09-11,2020-10-30,N,Y,N
244,7,2,2022-04-11,2022-11-10,Y,Y,N
245,6,10,2021-12-27,2022-07-29,N,Y,Y
246,2,22,2023-11-21,2024-05-23,N,Y,N
247,13,1,2023-10-08,2024-08-10,N,Y,Y
248,3,5,2020-04-30,2020-09-22,N,Y,N
249,11,6,2020-10-29,2021-10-03,Y,Y,N
250,1,10,2021-09-10,2021-11-20,N,Y,N
251,14,17,2022-11-04,2023-10-08,Y,Y,N
252,15,1,2021-05-29,2021-07-28,Y,Y,N
253,6,15,2023-01-10,2023-01-19,Y,N,Y
254,15,3,2020-08-10,2021-02-21,N,Y,Y
255,7,19,2022-06-09,2023-04-16,N,Y,Y
256,13,18,2020-02-16,2020-12-01,N,N,N
257,8,10,2020-01-11,2020-01-20,Y,N,Y
258,14,21,2020-02-06,2020-12-17,N,Y,Y
259,12,19,2024-01-15,2024-07-22,N,N,Y
260,9,14,2021-06-25,2022-04-10,N,N,N
261,12,17,2020-07-20,2020-08-29,N,Y,N
262,15,22,2020-08-02,2021-03-01,N,N,N
263,8,18,2020-04-12,2020-11-13,Y,Y,Y
264,10,14,2024-03-29,2024-06-05,N,Y,Y
265,13,11,2021-11-08,2022-06-09,N,N,N
266,3,4,2023-10-09,2024-04-20,Y,Y,N
267,2,15,2020-06-01,2021-02-26,Y,Y,Y
268,15,10,2022-07-18,2023-04-25,N,N,Y
269,6,16,2022-01-12,2022-03-28,Y,N,Y
270,11,18,2022-11-21,2023-01-12,N,Y,N
271,11,10,2022-05-08,2023-01-09,N,Y,N
272,1,4,2023-04-10,2024-03-02,N,Y,N
273,8,21,2020-05-20,2020-11-07,Y,N,N
274,14,1,2024-05-19,2025-05-18,Y,N,Y
275,2,15,2022-09-21,2023-09-09,N,Y,N
276,15,14,2024-03-26,2025-02-27,Y,N,N
277,6,10,2023-12-25,2024-03-16,N,N,Y
278,3,6,2022-09-23,2023-07-26,Y,Y,Y
279,8,4,2021-11-23,2022-06-18,Y,N,Y
280,6,12,2020-09-10,2021-06-17,N,N,N
281,13,17,2023-10-23,2024-06-14,Y,Y,Y
282,10,2,2022-04-12,2022-09-12,Y,Y,Y
283,5,14,2021-12-03,2022-01-28,Y,Y,N
284,14,1,2023-07-26,2024-04-27,Y,Y,N
285,9,8,2021-07-15,2022-07-02,N,N,N
286,1,21,2021-07-03,2021-12-19,N,Y,N
287,11,13,2021-02-27,2021-11-10,N,Y,Y
288,3,9,2022-09-04,2023-02-11,N,N,Y
289,13,4,2021-10-07,2022-01-11,N,Y,Y
290,15,18,2023-09-21,2024-06-17,N,N,N
291,15,22,2023-07-04,2023-08-28,N,Y,N
292,10,18,2022-03-22,2022-12-12,Y,N,N
293,11,5,2020-07-01,2021-01-20,Y,Y,Y
294,5,2,2020-02-08,2020-10-31,Y,N,Y
295,6,14,2023-09-13,2024-01-14,Y,N,N
296,1,11,2022-07-20,2023-04-10,N,Y,N
297,9,10,2024-04-26,2024-12-31,N,Y,N
298,11,9,2021-07-10,2021-10-16,Y,Y,N
299,7,10,2023-08-02,2023-09-08,N,Y,N
300,3,21,2022-03-07,2022-12-24,N,Y,Y
301,3,5,2021-04-09,2021-07-06,Y,N,N
302,5,19,2020-11-02,2021-07-14,N,Y,Y
303,2,16,2024-01-21,2024-03-25,N,Y,N
304,4,5,2020-10-03,2021-02-09,N,N,Y
305,13,8,2024-03-31,2024-05-31,N,Y,N
306,3,19,2021-12-27,2022-09-08,Y,N,Y
307,9,19,2022-07-02,2023-05-20,Y,N,N
308,1,12,2023-12-08,2024-12-04,N,N,Y
309,5,13,2021-01-03,2021-10-31,Y,Y,N
310,11,20,2022-07-29,2022-12-03,N,Y,N
311,4,5,2022-09-18,2023-01-06,Y,N,Y
312,6,7,2021-09-11,2022-06-02,N,Y,N
313,6,18,2024-04-26,2024-09-01,N,Y,Y
314,14,3,2022-05-25,2023-01-29,Y,Y,Y
315,5,8,2022-04-09,2022-10-16,N,N,N
316,1,21,2023-07-13,2023-10-30,Y,Y,Y
317,2,22,2020-03-06,2020-06-27,Y,Y,Y
318,10,6,2021-04-21,2022-01-25,Y,Y,Y
319,15,3,2024-02-27,2024-08-11,N,N,N
320,10,1,2022-11-22,2023-11-13,N,N,N
321,15,12,2020-04-01,2020-10-23,Y,N,Y
322,2,13,2021-11-11,2022-06-05,N,Y,N
323,7,17,2024-01-07,2024-06-16,Y,Y,Y
324,2,13,2023-03-16,2023-10-12,N,Y,N
325,3,13,2020-09-04,2020-09-20,N,N,N
326,8,20,2021-05-09,2022-04-02,N,Y,N
327,7,7,2023-03-03,2023-09-04,N,N,N
328,3,4,2024-01-17,2025-01-16,N,Y,N
329,6,12,2022-12-08,2023-07-03,Y,N,Y
330,12,2,2021-08-29,2022-07-04,N,Y,Y
331,2,18,2022-01-28,2022-08-11,N,N,N
332,8,8,2022-10-05,2023-01-13,Y,Y,N
333,2,6,2021-10-25,2022-04-30,Y,N,N
334,10,11,2023-07-12,2023-12-27,N,Y,Y
335,3,16,2020-09-14,2021-05-18,Y,Y,Y
336,4,1,2021-05-10,2021-09-10,N,N,N
337,10,19,2022-05-16,2022-06-22,Y,Y,N
338,1,8,2022-09-05,2023-08-22,N,Y,N
339,1,9,2021-10-09,2022-07-15,N,N,N
340,8,17,2022-07-28,2022-11-25,N,N,N
341,14,12,2020-10-28,2021-07-20,N,Y,Y
342,8,14,2023-11-13,2024-07-12,N,Y,N
343,15,8,2022-04-20,2022-06-18,N,Y,N
344,5,6,2024-02-23,2025-02-06,N,N,N
345,4,22,2021-10-04,2022-05-09,Y,N,Y
346,7,20,2023-08-18,2024-07-13,Y,N,N
347,4,6,2023-08-14,2023-11-21,Y,N,N
348,13,15,2021-06-14,2022-03-05,N,N,Y
349,13,15,2023-07-19,2023-08-27,N,Y,Y
350,6,20,2022-10-07,2023-02-23,N,N,N
351,9,16,2021-07-18,2021-12-13,N,N,N
352,10,2,2021-02-12,2021-08-02,N,Y,N
353,12,14,2023-05-04,2023-07-05,Y,Y,N
354,10,15,2022-01-31,2022-04-03,Y,Y,Y
355,13,6,2023-11-08,2024-09-03,N,N,N
356,13,6,2021-10-29,2021-11-10,Y,N,N
357,9,9,2021-11-19,2022-06-24,Y,N,Y
358,5,1,2020-11-10,2021-05-22,N,N,Y
359,7,12,2021-04-12,2022-02-11,N,Y,Y
360,15,11,2023-06-18,2023-07-01,N,Y,Y
361,15,15,2024-05-23,2024-08-21,Y,N,N
362,13,6,2023-02-04,2023-04-02,N,Y,N
363,2,23,2022-12-02,2023-07-11,N,N,Y
364,10,17,2022-04-28,2022-06-26,Y,Y,N
365,2,22,2022-06-26,2022-11-27,N,Y,Y
366,1,15,2022-06-29,2022-07-30,N,Y,N
367,6,19,2020-05-17,2020-09-19,Y,N,Y
368,12,9,2020-03-25,2020-11-04,Y,Y,N
369,10,6,2024-01-22,2024-12-03,N,Y,N
370,7,7,2021-10-10,2021-12-30,N,N,Y
371,2,14,2020-11-18,2021-01-04,N,Y,N
372,13,23,2023-05-22,2023-07-22,N,Y,Y
373,6,12,2021-10-13,2021-11-15,N,Y,N
374,7,9,2022-01-25,2022-11-24,N,N,Y
375,4,14,2021-01-27,2021-02-09,N,Y,Y
376,6,4,2021-07-03,2021-12-11,N,Y,N
377,12,22,2022-01-17,2022-11-27,Y,Y,Y
378,5,23,2021-03-14,2021-08-07,Y,N,Y
379,3,5,2021-02-04,2021-05-25,Y,Y,Y
380,15,18,2023-05-29,2024-04-05,Y,Y,Y
381,9,11,2020-05-14,2021-02-27,Y,N,N
382,15,14,2020-04-30,2021-03-10,N,Y,Y
383,5,15,2023-03-04,2023-07-23,N,Y,Y
384,14,5,2020-11-11,2021-07-12,Y,Y,Y
385,11,3,2021-07-03,2021-08-06,N,Y,N
386,11,17,2020-11-21,2021-09-06,Y,N,Y
387,14,22,2022-09-12,2022-09-12,Y,Y,Y
388,3,4,2022-05-08,2022-12-03,Y,N,N
389,6,10,2024-01-26,2024-06-21,N,Y,N
390,2,16,2020-11-01,2021-08-11,N,N,Y
391,14,20,2024-01-18,2024-05-05,Y,N,N
392,15,6,2023-06-22,2023-07-08,Y,Y,Y
393,3,5,2024-03-13,2024-08-24,N,N,Y
394,12,17,2022-04-23,2022-07-28,Y,N,Y
395,15,2,2021-02-20,2021-05-20,N,N,N
396,3,22,2020-02-19,2020-02-19,Y,N,N
397,13,2,2021-03-11,2021-11-14,Y,N,N
398,1,12,2023-06-14,2023-08-02,Y,Y,N
399,1,10,2020-06-03,2020-11-24,N,Y,N
400,13,3,2021-07-20,2022-05-03,N,Y,Y
401,2,17,2023-08-14,2023-09-24,Y,N,N
402,12,23,2020-08-14,2021-02-16,Y,N,Y
403,11,1,2022-11-13,2023-04-20,N,N,Y
404,12,14,2022-09-20,2023-06-04,Y,N,N
405,1,21,2020-02-03,2020-06-19,N,N,Y
406,4,2,2020-03-30,2020-08-19,N,Y,Y
407,14,19,2022-07-27,2023-03-19,N,N,N
408,2,23,2021-01-16,2021-11-25,Y,Y,Y
409,15,17,2023-02-16,2023-03-30,Y,Y,N
410,13,13,2022-06-05,2023-05-20,Y,N,Y
411,4,12,2024-02-13,2024-05-16,Y,Y,Y
412,14,22,2023-06-10,2023-09-24,N,Y,Y
413,11,7,2022-07-02,2023-05-04,N,Y,Y
414,2,19,2020-01-10,2020-06-02,N,Y,N
415,14,14,2022-01-31,2022-02-10,N,N,Y
416,2,5,2020-05-18,2020-09-19,N,N,Y
417,13,22,2020-01-02,2020-01-20,N,Y,N
418,15,5,2020-05-17,2021-04-30,N,Y,Y
419,5,4,2021-12-07,2022-07-27,Y,N,Y
420,10,2,2022-02-13,2022-10-11,Y,Y,Y
421,15,19,2024-03-07,2025-02-18,N,Y,N
422,10,6,2022-03-22,2022-04-01,N,Y,N
423,14,22,2023-05-03,2023-10-05,Y,N,N
424,14,4,2022-05-17,2023-03-27,N,N,N
425,8,19,2021-02-21,2021-08-12,N,Y,N
426,2,12,2021-06-24,2022-06-09,N,Y,N
427,11,9,2020-04-03,2020-05-03,N,N,Y
428,8,21,2021-11-07,2022-09-21,Y,Y,Y
429,8,4,2020-06-15,2020-08-28,N,Y,N
430,11,14,2022-12-16,2022-12-18,N,Y,Y
431,10,12,2021-07-18,2022-04-29,N,N,Y
432,11,4,2021-09-26,2022-01-19,N,Y,Y
433,4,22,2020-09-17,2020-12-29,N,N,N
434,13,13,2021-03-13,2021-12-05,Y,N,Y
435,7,16,2021-10-02,2021-12-16,N,N,N
436,10,22,2024-04-14,2025-03-07,N,Y,N
437,4,5,2024-04-02,2024-09-26,Y,N,N
438,7,11,2020-07-19,2020-09-26,N,Y,Y
439,10,8,2020-04-01,2020-12-20,Y,Y,Y
440,6,4,2022-06-07,2023-01-20,N,N,N
441,5,20,2022-09-21,2023-08-27,N,N,N
442,12,2,2021-05-14,2022-02-09,N,Y,Y
443,4,3,2022-03-08,2023-01-26,N,Y,N
444,11,8,2023-05-25,2024-03-12,Y,Y,N
445,12,14,2023-11-20,2023-12-13,N,N,Y
446,10,5,2024-04-09,2024-10-28,Y,Y,N
447,4,1,2024-05-15,2025-03-09,N,N,Y
448,15,16,2020-02-14,2020-03-12,N,Y,Y
449,5,11,2023-01-30,2023-12-30,N,Y,N
450,5,9,2022-04-12,2022-06-09,N,Y,Y
451,4,16,2020-07-19,2021-02-12,N,Y,N
452,14,21,2024-04-18,2024-06-15,Y,N,N
453,10,4,2024-02-19,2024-11-17,Y,N,N
454,4,20,2020-09-06,2020-12-03,N,N,Y
455,7,12,2023-12-10,2024-05-13,N,N,Y
456,13,21,2023-12-14,2024-03-07,N,Y,N
457,8,14,2022-08-12,2023-04-12,Y,Y,N
458,8,16,2022-07-16,2023-03-20,Y,Y,N
459,8,22,2021-11-10,2022-01-12,N,N,N
460,10,19,2023-04-02,2023-12-24,Y,N,N
461,3,18,2024-02-27,2024-09-06,Y,Y,N
462,3,7,2020-10-19,2020-12-05,Y,N,Y
463,4,3,2020-03-01,2020-06-04,N,Y,N
464,14,15,2024-01-28,2025-01-09,Y,Y,Y
465,10,22,2021-04-20,2022-03-23,Y,Y,Y
466,8,20,2020-01-31,2020-03-17,N,N,N
467,6,7,2022-10-17,2023-01-19,N,N,N
468,14,16,2020-03-22,2020-03-25,Y,Y,Y
469,4,16,2022-03-13,2023-02-08,Y,N,N
470,12,2,2023-07-29,2023-09-29,N,N,N
471,2,22,2023-06-10,2023-11-11,N,Y,N
472,8,2,2022-06-28,2023-05-05,Y,N,N
473,8,4,2022-05-01,2022-11-05,N,N,Y
474,8,16,2022-04-23,2022-06-03,Y,Y,N
475,7,19,2020-02-15,2020-08-26,N,N,Y
476,5,18,2020-11-15,2021-06-21,Y,N,N
477,10,10,2023-06-07,2023-09-05,N,Y,Y
478,6,7,2023-02-05,2023-08-19,Y,N,Y
479,12,3,2022-08-09,2023-04-05,N,N,Y
480,12,19,2023-05-03,2023-10-12,Y,N,Y
481,12,17,2022-08-11,2022-12-04,N,Y,N
482,5,2,2024-02-01,2025-01-13,Y,Y,N
483,8,1,2022-04-13,2023-01-26,N,Y,Y
484,7,7,2023-06-11,2023-12-09,N,Y,Y
485,11,20,2020-04-02,2020-08-06,N,Y,N
486,2,17,2021-01-07,2021-12-21,Y,Y,Y
487,7,21,2022-01-24,2022-09-24,N,N,N
488,9,12,2024-04-10,2024-10-30,N,N,Y
489,4,18,2022-07-10,2022-12-21,N,N,Y
490,13,21,2023-04-23,2023-11-10,Y,Y,Y
491,11,17,2023-02-06,2023-11-17,N,Y,N
492,5,21,2021-03-09,2021-09-19,N,N,Y
493,14,7,2023-08-27,2023-09-30,Y,N,N
494,5,5,2020-08-14,2020-10-28,Y,N,Y
495,2,22,2020-05-14,2021-02-16,N,N,Y
496,15,9,2024-05-17,2024-12-23,Y,Y,Y
497,3,14,2020-07-23,2020-09-19,N,N,N
498,3,8,2020-05-05,2020-06-07,N,N,N
499,10,8,2020-02-21,2020-07-21,N,Y,Y
500,5,10,2022-05-30,2023-03-26,N,N,N
501,10,11,2021-08-25,2021-11-08,Y,Y,Y
502,15,12,2020-05-14,2021-03-14,Y,Y,N
503,6,20,2020-10-13,2021-08-27,Y,Y,Y
504,10,10,2021-04-19,2022-02-21,Y,N,Y
505,4,13,2020-08-30,2020-10-27,N,Y,Y
506,12,15,2023-04-18,2023-12-24,N,Y,N
507,15,20,2022-11-10,2023-04-10,N,N,Y
